name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Margeriaz,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,"Afin de déguster votre Margériaz, vous pouvez le servir à l’apéritif sur un plateau avec un bon pain de campagne et un bon vin. Toutefois, il est dit qu’à chaque fromage, son vin. Pour apprécier la douceur du Margériaz, choisissez un vin blanc vif comme un Apremont ou une Roussette. Une Mondeuse ou un Gamay sont parfaits si vous êtes un amateur de rouge. En effet, ce sont des apéritifs frais, légers et aromatisés. En outre, ils présentent un côté acide en équilibre avec le gras du fromage.","['Reblochon Fermier AOP entier', 'Beaufort chalet alpage AOP', 'Saint-Félicien fermier', 'Raclette Fumée']", Couleur de la pâte  jaune crème en hiver et le jaune plus soutenu en période de pâturage.,"  Arôme peu puissant, mais riche en nuances."," Saveur douce. Palette d’arômes fruités torréfiés, floraux, végétaux et lactiques.", La pâte avec du corps et souple.
Maroilles,Vache,Molle à croûte lavée,Hauts-de-France ,"Le Maroilles s’accompagne parfaitement avec une bière du Nord ou un cidre brut., Si vous privilégiez un rouge, choisissez-le âgé, aux tanins fondus (St Emilion, Fronsac…). Ou un blanc moelleux, tel qu’un Gewurztraminer.","['Herve à la Bière', 'Saint Marcellin fermier IGP', 'Raclette Fumée', 'Munster fermier AOP 1/2']", Croûte lisse et brillante,  Odeur franche," doux, développé ou fort, selon son stade d’affinage", Pâte onctueuse
Mascaré,Chèvre,Molle à croûte naturelle,Provence-Alpes-Côte d'Azur ,Le mascaré se déguste à tout moment et sera le partenaire idéale d’un vin blancs type Croze Hermitage ou Luberon.,"['Mothais sur feuille fermier', 'Calisson cendré de chèvre', 'Saint Marcellin fermier IGP', 'Bleu de Chèvre']", Très peu de croûte d’une couleur blanche laiteuse à jaune selon l’affinage, Odeur légèrement caprine., Superbe balance entre le lait de chèvres et le lait de brebis. Légère acidité., Pâte souple à mi ferme selon l’affinage.
Massadel fermier,Vache,Pressée non cuite,Occitanie ,"Le Massadel fermier s’accompagne d’un Vin Rouge fruité, tel qu’un fronton.","['Tomme de Brebis des Pyrénées', 'Salers AOP', 'Tomme de Yenne', 'Tome des Bauges AOP']", Croûte orangée, lactique,"Gout fruité et doux, avec une légère pointe d’amertume", Texture moelleuse
Meule d’été de Savoie,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,La Meule d’été de Savoie se déguste parfaitement avec les vins blancs secs tels que le Chignin-Bergeron. Il se consomme à merveille lors des repas entre ami ou en famille.,"['St-Nectaire Fermier AOP', 'Reblochon Fermier AOP entier', 'Tome des Bauges AOP', 'Raclette Fumée']",  Pâte pressée cuite., Arômes fruités.,, Pâte fondante.
Meule des Alpes,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,La Meule des Alpes s’accompagne d’un vin blanc sec tel qu’un Chignin-Bergeron.,"['Herve à la Bière', 'Neufchâtel AOP', 'Reblochon Fermier AOP entier', 'Munster fermier AOP 1/2']", pâte couleur ivoire à jaune pâle avec quelques petits trous également appelés “œil de perdrix”, lactique, Très fruité et pâte fondante, Pâte souple et beurrée
Mignonne de Vendée,Vache,Pressée non cuite,Pays de la Loire,La mignonne de Vendée s’accompagne d’un vin blanc tel qu’un Muscadet du même terroir.,"['Tomme fermière au Foin', 'Morbier AOP 100jours', 'Tomme de Tarentaise fermière', 'Bethmale']", Croûte fine et duveteuse., Odeur terreuse de champignon, Doux en bouche, Pâte souple et onctueuse
Mimolette,Vache,Pressée non cuite,Hauts-de-France ,"La Mimolette Jeune s’accompagne d’un bourgogne rouge léger, d’un Blanc fruité ou d’une bière d’Abbaye.","['Camembert de Normandie AOP', 'Tomme d’Auvergne Mitée', 'Cantal AOP Entre-Deux fermier', 'Raclette Fumée']", croûte duvetée, Champignon et sous-bois, Légèrement fruité avec avec une saveur de noisettes, Texture crémeuse
Mini perche,Chèvre,Molle à croûte naturelle,Centre-Val de Loire ,"Comme tous les <strong><a href=""/categorie-fromage/fromage/chevre/"">fromages au lait de chèvre</a></strong>, le mini perche se marie merveilleusement bien avec un vin blanc de son terroir. Le Centre-Val de Loire étant une région viticole réputée, vous avez l’embarras du choix pour le vin. Sancerre, le Pouilly-Fumé, le Quincy… en sont des exemples., Si vous aimez sortir des sentiers battus, accompagnez votre mini perche d’un vin rouge de la région tel que le Valençay, le Côteaux du Giennois, etc.","['Calisson cendré de chèvre', 'Mothais sur feuille fermier', 'Bouton de Culotte fermier', 'Rocamadour AOP Fermier', 'Crottin de Chavignol AOP']","croûte strié, pâte blanche et lisse", odeur caprine, Saveur caprine fraiche et une bonne longueur en bouche, pâte ferme et croûte molle légèrement crémeuse
Mizotte,Vache,Molle à croûte lavée,Nouvelle Aquitaine,Le Mizotte s’accompagne de vins rouges léger ou de vins blancs tel qu’un Mareuil blanc.,"['Camembert de Normandie AOP', 'Abondance AOP', 'Bleu d’Auvergne Fermier AOP', 'Cantal AOP Entre-Deux fermier']", croûte orangée,Odeur assez soutenue, Gout fruité légèrement “sulfuré”, Pâte tendre et légèrement “poisseux”
Moelleux du Revard,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes ,"Vin Rouge, tel qu’un Vacqueyras ou un Bordeaux.<span class=""Apple-converted-space"">  </span>Ou un vin blanc Savoyard tel qu’un Chignin-Bergeron.,  ,  ","['Bleu d’Auvergne Fermier AOP', 'Herve à la Bière', 'St-Nectaire Fermier AOP', 'Brillat-Savarin IGP']", Crémeux, Parfums résineux diffusés par sa sangle d’épicéa, Gout légèrement salé et persistant en bouche, souple
Moelleux,Vache,Molle à croûte lavée,Bourgogne - Franche-Comté ,"Le Mont d’Or se savoure froid ou chaud., Ce fromage s’accompagne des vins blancs et rouges du Jura et d’Arbois, mais aussi des vins de Savoie blancs et de Jurançon sec.","['Neufchâtel AOP', 'Abondance AOP', 'Raclette Fumée', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)']"," Croûte plissée, légerement refleurie de couleur jaune clair à doré, pâte blanche.", Parfum franc caractéristique du Mont d’Or avec une note d’épicéa.," Gout boisé, saveur de crème et parfum persistant.", Pâte de texture légèrement coulante.
Mont d’Or,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes ,Le Mont des Princes s’accompagne d’un Vin blanc de Savoie comme un Chignin-Bergeron.,"['Morbier AOP 100jours', 'Beaufort chalet alpage AOP', 'St-Nectaire Fermier AOP', 'Raclette Fumée']", croûte orangé, lactique," Doux et fruité, son goût est proche de celui d’un Comté 9 mois ou d’un jeune gruyère suisse. Longueur en bouche très agréable.", Texture ferme
Mont des Princes,Vache,Pressée cuite,Bourgogne - Franche-Comté,"Le Mont Jura se déguste avec un vin blanc sec, tel qu’un Côtes du Jura.","['Bethmale', 'Bleu d’Auvergne Fermier AOP', 'Reblochon Fermier AOP entier', 'Neufchâtel AOP']", pâte jaune pâle, Doux, beurré. Au printemps il devient fruité et floral. Gout proche du comté jeune., croûte dure mais pâte tendre
Mont-Jura,Vache,Pressée cuite,Occitanie ,Le Moulis de Vache est un fromage qui s’accompagne d’un vin blanc tel qu’un Côtes du Jura blanc.,"['Bethmale', 'Salers AOP', 'Cheddar Extra-Mature', 'Tête de Moine entière']", croûte fine légèrement striées avec une pâte aérée, Odeur de foin," Coeur du fromage suave, qui se corse avec des notes plus animales près de la croûte. Légère amertume.", pâte souple et onctueuse
Moulis de Vache,Vache,Pressée non cuite,Bourgogne - Franche-Comté ,"Le Morbier peut être servi sur le plateau de fromages pour la fin du repas. Compte tenu de la subtilité de son goût, il faut le déguster avant les fromages puissants., Les vins du terroir accompagnent très bien le Morbier. Par exemple, le vin jaune du Jura, le vin rouge du Jura ou encore les vins d’Arbois rouges. Du vin rouge des régions Champagne, Loire et Bordeaux.","['Pont l’Evêque AOP entier', 'Tomme de Brebis des Pyrénées', 'Raclette de Savoie artisanale IGP', 'Reblochon Fermier AOP entier']"," Croûtage naturel, lisse, de couleur gris clair à jaune pâle ou orangé, sans colorant. Raie noire bien soudée et continue sur toute la tranche.", Parfum franc et fruité., Léger goût de crème., Pâte souple et onctueuse pouvant comporter quelques rares petits trous
Morbier artisanal,Vache,Pressée non cuite,Nouvelle Aquitaine ,"Le Mothais sur feuille s’accompagne d’un vin blanc, comme toute sa famille des chèvres. Optez pour un Charentais Ile d’Oléron ou un vin blanc de Touraine.","['Saint Marcellin fermier IGP', 'Chabichou du Poitou AOP', 'Tomme de Brebis des Pyrénées', 'Buchette de Chèvre cendrée']", peau fine et bleutée, Une odeur caprine., Note de lait et de crème et de sous-bois., Une pâte tendre et fondante.
Mothais sur feuille,Chèvre,Molle à croûte naturelle,Italie ,A Accompagner d’un rosé du Val de Loire bien frais.,"['Parmesan DOP', 'Gorgonzola Cremoso AOP (à la cuillière)']", Couleur blanche ivoire, frais," lactique, et fondant en bouche", moelleux et onctueux
Mozzarella di Bufala Campana,Vache Bufflonne,Frais à pâte filée,Grand Est ,"Le Munster s’accompagne d’un Beaujolais Rouge, d’un Gewurztraminer blanc ou d’une bière brune.","['Neufchâtel AOP', 'Saint-Félicien fermier', 'Reblochon Fermier AOP entier', 'Cantal AOP Entre-Deux fermier']"," Croûte lisse et légèrement humide, allant du jaune au rouge orangé, avec des graines de cumin", Fumet fort et franc, Saveur franche et relevée qui reste en bouche,  Pâte souple et onctueuse
Munster au cumin,Vache,Molle à croûte lavée,Grand Est ,"Les vrais amateurs de Munster ou Munster−Géromé l’apprécient nature, sans pain, avec des pommes de terre chaudes en robe des champs. Il entre aussi dans la composition de plats régionaux savoureux, comme la quiche et l’omelette au Munster, la tourte aux pommes de terre et au Munster, le baeckeoffe de Munster, etc…Il peut s’accompagner de vins rouges puissants, Corton, Haut−Médoc, mais il s’harmonise encore mieux avec des produits du terroir alsacien, Gewurztraminer, Pinot Noir ou encore bière de type ambré","['Abondance AOP', 'Fourme d’Ambert AOP', 'Bleu d’Auvergne Fermier AOP', 'Morbier AOP 100jours']"," Croûte lisse et légèrement humide, allant du jaune orangé au rouge orangé", Odeur typique," Saveur franche relevée, sans être forte.",  Pâte souple et onctueuse
Munster-Géromé,Vache,Molle à croûte lavée,Normandie ,"Fromage de plateau, le Neufchâtel est habituellement consommé en fin de repas. Mais il est aussi délicieux dans un sandwich en guise de casse-croûte., Bien fait, il s’accompagne de vin rouge fruité du type Bordeaux, Juliénas, Côtes-du-Rhône ou Beaujolais. En revanche, un fromage frais peut se marier avec un blanc sec comme un Coteaux Champenois, un Bourgogne Aligoté ou un Montlouis sur Loire.","['Saint Marcellin fermier IGP', 'Coulommiers entier fermier', 'Tome des Bauges AOP', 'St-Nectaire Fermier AOP']", Peau duveteuse et blanche ; pâte lisse (on dit qu’il est à point lorsqu’il est “moussé”),  Odeur légère de moisissure," Saveur délicate, mais soutenue. Gout légèrement salé , doux et lacté.",  Consistance moelleuse et onctueuse
Neufchâtel,Vache,Molle à croûte fleurie,Centre-Val de Loire ,"L’Olivet Cendré se marie très bien avec un Vin Blanc de Touraine, par exemple du Domaine du Rin du Bois, ou un vin rouge de Sancerre, du Domaine Morin Père et Fils.","['Camembert de Normandie AOP', 'Beaufort chalet alpage AOP', 'Saint-Félicien fermier', 'Abondance AOP']"," Forme régulière, croûte mince et duvetée de cendre", Légère odeur de Moisissure, Saveur fruitée, Pâte souple non coulante
Olivet cendré,Vache,Molle à croûte naturelle,Nouvelle Aquitaine ,Il se sert avec un vin blanc sec tel qu’un Jurançon blanc sec ou un Irouléguy (vin doux si jeune et plus puissant si plus affiné).,"['Salers AOP', 'St-Nectaire Fermier AOP', 'Tête de Moine entière', 'Tomme de Tarentaise fermière']"," Croûte épaisse, fromage sec.", Odeur franche et équilibrée avec des senteurs d’herbe sèche ou de paille., Gout de fruit sec avec une petite note animale persistante., La pâte est ferme et plutôt sèche.
Ossau-Iraty,Brebis,Pressée non cuite,,L’Ovalie Romarin du Petit Champ s’accompagne d’un vin blanc sec du Sud-Ouest tel qu’un Jurançon.,"['Buchette de Chèvre cendrée', 'Sainte-Maure de Touraine AOP', 'Saint Marcellin fermier IGP', 'Rocamadour AOP Fermier']", croûte striée de couleur ivoire, Odeur de foin frais, Saveur noisette qui s’intensifie avec l’affinage, souple et fondante
Ovalie Romarin,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le palet cendré de la fromagerie Johnny Blanc s’accompagne en accord avec un vin blanc sec tel qu’un Chardonnay.,"['Buchette de Chèvre cendrée', 'Mothais sur feuille fermier', 'Chabichou du Poitou AOP', 'Bleu de Chèvre']", Couleur bleu-gris, Odeur caprine, Puissant en bouche, Texture plutôt ferme
Palet cendré,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Pardou s’accompagne d’un Jurançon blanc ou d’un Irouléguy rouge ou blanc.,"['Morbier AOP 100jours', 'Raclette de Savoie artisanale IGP', 'Bethmale', 'Tomme Ail des Ours']", croûte légèrement orangée, puissant, Alliance de la force du brebis au fruité du lait de vache, Texture ferme
Pardou,Vache/Brebis,Pressée non cuite,Nouvelle Aquitaine ,"Accompagnez votre Galopin avec un vin blanc sec frais, tel qu’un Sauvignon blanc de Touraine. ","['Sainte-Maure de Touraine AOP', 'Rocamadour AOP Fermier', 'Saint-Félicien fermier', 'Bleu de Chèvre']",  croûte fine et striée, Légère odeur caprine," Lactique quand il est frais, vien plus caprin au fil de son affinage", Pâte fine et crémeuse
Pardoux,Chèvre,Molle à croûte naturelle,Italie ,"Pour une dégustation optimale, le vin blanc sec se marie parfaitement avec ce fromage. Libre à vous de choisir une bouteille « jeune » ou « vieille » :, Sinon, le champagne accompagne également ce fromage à merveille ! En effet, le côté effervescent, acidulé et plus ou moins fruité du champagne rehausse encore plus la saveur du parmesan et allège le côté gras du fromage. Cela vous tente ? Eh bien, optez alors pour une bouteille de :","['Pont l’Evêque AOP entier', 'Brie de Meaux fermier AOP', 'Camembert de Normandie AOP', 'Beaufort chalet alpage AOP']", pâte de couleur jaune et croûte jaune claire, Odeur intense," Saveur lactique boucanée, fruité, salée qui peut même être légèrement piquante", pâte granuleuse et friable. croûte très dure.
Parmigiano reggiano,Vache,Pressée cuite,,Le Parthenay de la fromagère de la Revalière s’accompagne très bien d’un vin blanc sec tel qu’un sancerre blanc.,"['Saint-Félicien fermier', 'Selles-sur-cher AOP fermier', 'Saint Marcellin fermier IGP', 'Crottin de Chavignol AOP']", Couleur bleu-gris avec une pâte blanche nacrée, Odeur caprine, Saveur de noisette due à la feuille de châtaignier, Texture plutôt ferme et onctueuse
Parthenay cendré,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le chablis cendré s’accompagne d’un vin blanc sec, tel qu’un Chardonnay. ","['Buchette de Chèvre cendrée', 'Saint-Félicien fermier', 'Saint Marcellin fermier IGP', 'Pouligny-Saint-Pierre AOP fermier']", couleur bleu-gris, caprin, Doux puis puissant en bouche, Texture plutôt ferme
Pavé cendré,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes,,"['Morbier AOP 100jours', 'Cheddar Extra-Mature', 'Tomme de Brebis des Pyrénées', 'Gouda au Cumin Fermier']",,,,
Pavé Corrézien Mité,Vache,Pressée non cuite,Occitanie ,Il sera accompagné d’un Pic Saint Loup rouge ou encore d’un vin blanc liquoreux comme le Gourdou issu du même terroir.,"['Saint-Félicien fermier', 'Mothais sur feuille fermier', 'Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier']",,,, 
Pavé des Cévennes,Brebis,Molle à croûte naturelle,Occitanie ,"Le Pavé du Larzac s’accompagne d’un Vin Blanc sec tel que de Touraine, par exemple du Domaine du Rin du Bois, un muscadet ou un vin rouge léger tel qu’un Sancerre rouge, du Domaine Morin Père et Fils.","['Selles-sur-cher AOP fermier', 'Saint-Félicien fermier', 'Sainte-Maure de Touraine AOP', 'Valençay AOP fermier']"," Forme rectangulaire, de couleur blanc ivoire"," arômes légèrement acidulés, typiques des fromages de brebis", Doux, Pâte souple
Pavé du Larzac,Brebis,Molle à croûte fleurie,Auvergne_Rhône-Alpes ,"Idéal avec un pétillant, cidre brut ou si préférez le vin, un rouge assez jeune et léger.","['Brie de Meaux fermier AOP', 'Raclette Fumée', 'Brillat-Savarin IGP', 'Saint-Félicien fermier']", croûte fleurie blanche légèrement ambrée, Champignon, Saveur de noisette, Texture crémeuse et onctueuse
Pavé Fermier,Vache,Molle à croûte fleurie,Auvergne_Rhône-Alpes,"Pour l’accompagner allez sur des vins rouges un peu charpentés tels un Côtes-de-Blaye, Côtes-de-Bourg ou tout simplement un Côtes d’Auvergne rouge.","['Saint-Félicien fermier', 'Cheddar Extra-Mature', 'Tomme de Brebis des Pyrénées', 'Cantal AOP Entre-Deux fermier']"," croûte mince, lisse et une couleur rougeâtre", légère odeur de cave, assez prononcé, pâte souple et légèrement collante
Pavin,Vache,Pressée non cuite,Italie ,"Le Pecorino Dolce éveille agréablement les sens avec un vin blanc sec, fruité et délicat. Quant au Pecorino Maturo, il se marie mieux avec des vins rouges charpentés avec un degré d’alcool plus élevé., En général, le Pecorino s’accorde parfaitement aux vins italiens comme un Bardolino, Chianti ou Valpolicella.","['Tomme de Brebis des Pyrénées', 'Beaufort chalet alpage AOP', 'Gorgonzola Cremoso AOP (à la cuillière)', 'Etivaz AOP']"," couleur blanche, crème ou jaune paille, avec un écroûte qui devient rouge sombre en vieillissant.", Arômes de brebis avec des notes de laine et de bois sec.," En bouche, il est beurré avec des notes de noisettes grillées.", Ferme. Souple si jeune et sec si affiné
Pecorino Stagionato,Brebis,Pressée cuite,Occitanie ,"Depuis quelques années, le Pélardon sort du traditionnel plateau de fin de repas pour investir les entrées où on peut le déguster pané, doré au four avec un filet d’huile d’olive. Ainsi, il donne à la traditionnelle salade verte un intérêt insoupçonné. Le Pélardon se retrouve aussi dans les sauces accompagnant boeuf et agneau du Languedoc., Les vins AOC du Languedoc accompagnent l’AOC Pélardon : Parrains de l’AOC Pélardon, les grands vins qui parlent le Languedoc sont les parfaits complices du Pélardon. Citons, entre autres, ceux de Saint−Chinian, Minervois, Faugères et Coteaux du Languedoc.","['Sainte-Maure de Touraine AOP', 'Pouligny-Saint-Pierre AOP fermier', 'Saint Marcellin fermier IGP', 'Chabichou du Poitou AOP']"," Une croûte fine, couverte en partie ou en totalité de moisissures jaunes pâles, blanches ou bleues. Pâte de couleur blanche à ivoire, d’aspect lisse à la coupe.",Une odeur caprine puissante pas désagréable et odeurs florales ou de miel.," Un goût de noisette quand il est jeune, et goût de chèvre plus marqué quand il est affiné."," Une pâte de texture homogène, onctueuse et crémeuse, qui peut devenir cassante après un affinage prolongé."
Pélardon,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Le péril de brebis se déguste à tout moment et s’accompagne avec soit un vin blanc, type St-Chinian, soit un vin rouge des Côteaux du Languedoc, soit un rosé de Provence.","['Buchette de Chèvre cendrée', 'Valençay AOP fermier', 'Rocamadour AOP Fermier', 'Tome des Bauges AOP']", Croûte blanche, Odeur caprine, Puissant avec une dominante florale, texture souple et moelleuse.
Pérail de Brebis,Brebis,Molle à croûte naturelle,,"Présenté en tranches fines, il peut aussi être servi à l’apéritif., Il ne faut surtout pas gratter la croûte : c’est elle qui donne au fromage son caractère particulier. Très décoratif, il apporte une note fraîche dans un buffet de fromages.Sur les plateaux de fromages, pour les apéritifs dînatoires, les petites faims. Les enfants apprécient sa douceur., Seul ou accompagné d’autres saveurs, sur des tartines, il attire l’œil et stimule les papilles des amateurs de fromages., Il sera accompagné d’un Pic Saint Loup rouge ou encore d’un vin blanc liquoreux comme le Gourdou issu du même terroir, ou un Beaume de Venise, par exemple du Domaine de Fenouillet.","['Pouligny-Saint-Pierre AOP fermier', 'Saint Marcellin fermier IGP', 'Tomme de Brebis des Pyrénées', 'Buchette de Chèvre cendrée']",,,, 
Péraldou,Brebis,Molle à croûte naturelle,Ile de France,Le Persillé de Chèvre s’accompagne d’un blanc sec tel qu’un Chignin Bergeron de Savoie.,"['Selles-sur-cher AOP fermier', 'Bleu de Chèvre', 'Blue Stilton AOP', 'Buchette de Chèvre cendrée']",  croûte légèrement cendrée, Odeur de chèvre,Magnifique compromis entre saveur caprine acidulée et puissance d’un bleu, Texture moelleuse et puissante
Persillé de Chèvre,Chèvre,Pâte persillée,Occitanie,"Le Bethmale est avant tout un fromage de fin repas qui s’harmonise au mieux avec un vin de Loire, blanc ou rouge mais vous pouvez également le déguster avec un Ariège rouge ou encore un Côte du Rhône.","['Tomme de Brebis des Pyrénées', 'Bethmale', 'Camembert de Normandie AOP', 'Saint Marcellin fermier IGP']"," Croûte plane, fine légèrement striée,"," faible odeur de lait et de foin tirant sur le fruit jaune, odorat prononcé.", léger avec des notes de foin, pâte souple avec une pâte ferme et sèche
Petit Chistera,Vache,Pressée non cuite,Grand Est ,"Consommé en fin de repas, le Petit Dongé s’accompagne idéalement avec un vin rouge, tel qu’un St Nicolas de Bourgueil ou un Pommard. ","['Bethmale', 'Tome des Bauges AOP', 'Bleu d’Auvergne Fermier AOP', 'Mimolette']", fins pigments rougeâtres et duveté de blanc. Pâte jaune paille., odeur bouquetée, Fine saveur de noisette, onctueux et souple mais non coulant
Petit Dongé,Vache,Molle à croûte fleurie,,"Le Petit Gaugry est avant tout un fromage de fin repas qui s’harmonise au mieux avec un vin de Bourgogne, blanc ou rouge de la Côte de Beaune ou de la Côte de Nuits.","['Maroilles fermier AOP 1/2', 'Neufchâtel AOP', 'Fourme d’Ambert AOP', 'Bethmale']"," croûte lisse ou légèrement ridée, brillante, de couleur ivoire orangé à rouge−brique selon le stade d’affinage"," odeur marquée, agréable, pénétrante, expansive, franche, bouquetée"," saveur relevée, typée, la pâte est fondante en bouche. Délicate sensation de crémeux sous le palais.", pâte souple et onctueuse
Petit Gaugry,Vache,Molle à croûte lavée,Nouvelle Aquitaine ,"Le Petit Louvie s’accompagne d’un Vin blanc sec, comme un Jurançon.","['Sainte-Maure de Touraine AOP', 'Calisson cendré de chèvre', 'Rocamadour AOP Fermier', 'Crottin de Chavignol AOP']", Croûte légèrement bleutée, Odeur de sous-bois, Saveur un peu salée de chèvre, Texture ferme et fondante à la fois
Petit Louvie,Chèvre,Molle à croûte naturelle,Bourgogne - Franche-Comté ,"Le Petit St-Point est un fromage de fin de repas, mais il peut également être consommé en en−cas, sans pain. Il convient parfaitement aux enfants., Il s’accompagne de vins blancs comme le Chignin blanc de Savoie.","['Bethmale', 'St-Nectaire Fermier AOP', 'Reblochon Fermier AOP entier', 'Bleu d’Auvergne Fermier AOP']"," croûte fine, légèrement orangé", Légère odeur de cave, Pâte fondante en bouche et goût assez doux., Pâte moelleuse.
Petit Saint Point,Vache,Molle à croûte lavée,Nouvelle Aquitaine,"Nous vous conseillons d’accompagner la bonde de Gatigne d’un vin blanc sec, tel qu’un Saint-Véran ou un Sancerre.","['Valençay AOP fermier', 'Pouligny-Saint-Pierre AOP fermier', 'Chabichou du Poitou AOP', 'Saint Marcellin fermier IGP']", Forme cylindrique avec une croûte qui va du jaune au marron-gris, Arômes caprins, pâte lactique au goût beurré et de noisette, croûte ferme gris bleutée
Petite Bonde,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes,"Le Picodon se savoure le plus couramment en fin de repas. Suivant les goûts, on le choisira jeune ou sec. Chaud ou froid, il se mélange avec la salade. Il est excellent grillé et peut être macéré dans du vin blanc, de l’eau−de−vie ou de l’huile d’olive., Les vins des Côtes−du−Rhône, rouges ou blancs, l’accompagnent harmonieusement.","['Raclette Fumée', 'St-Nectaire Fermier AOP', 'Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier']","  croûte à belle fleur bleue ou blanche, coupe franche", Légère odeur caprine, Saveur de chèvre d’autant plus prononcée que le fromage est mûr," Pâte ferme, fine et homogène, pouvant être cassante après un affinage prolongé"
Picodon,Chèvre,Molle à croûte naturelle,Hauts-de-France,"Il s’accompagne très bien d’un vin Blanc de Loire ou de Bourgogne, ou tout simplement d’une bière.","['Coulommiers entier fermier', 'Saint Marcellin fermier IGP', 'Camembert de Normandie AOP', 'Herve à la Bière']"," croûte fleurie bien blanche en début d’affinage, puis des moisissures bleue-grises.", Champignon et sous-bois, Saveur de noisette légèrement sucrées, Texture crémeuse. Pâte molle et blonde.
Pierre Blanche,Vache,Molle à croûte fleurie,Nouvelle Aquitaine ,"Le Pitchou s’accompagne d’un vin blanc sec, tel qu’un Pouilly fumé. ","['Sainte-Maure de Touraine AOP', 'Saint-Félicien fermier', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier']", couleur cendré, caprin, goût de noisette, Texture dense
Pitchou,Chèvre,Molle à croûte naturelle,Bourgogne - Franche-Comté ,"Fin, raffiné et délicat le “Plaisir au Chablis”s’adressent, pour les petites faims, aux amateurs de fromages à caractère de Bourgogne., Sans contestation, il doit s’accompagner, d’un Chardonnay, d’un chablis ou d’un Sancerre blanc.","['Bleu de Gex AOP', 'Bleu d’Auvergne Fermier AOP', 'Morbier AOP 100jours', 'Saint Marcellin fermier IGP']",  croûte humide et lisse orangée, vigoureuse," fondant, fort et intense", souple
Plaisir au Chablis,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes,"De même que son cousin le Cantal, le Pomerol s’accompagne souvent d’un vin rouge, ni trop tannique, ni trop boisé. Ainsi, pour profiter pleinement des saveurs de votre fromage, vous pouvez opter pour un Beaujolais ou un rouge de la Loire par exemple. Toutefois, le vin blanc se marie également très bien à la douceur et au côté onctueux et beurré du Pomerol. De ce fait, vous pouvez le déguster avec un vin blanc de la Vallée du Rhône.","['Tomme de Tarentaise fermière', 'Reblochon Fermier AOP entier', 'Tomme du Jura', 'Tome des Bauges AOP']"," croûte entre le gris et le marron.  Pâte fine, de couleur ivoire", odeur légèrement lactique., légère saveur de noisette, consistance souple et légèrement friable
Pomerol,Vache,Pressée non cuite,Normandie ,Le Pont l’Évêque se marie parfaitement avec :,"['Herve à la Bière', 'Munster fermier AOP 1/2', 'Bergues au torchon fermier', 'Maroilles fermier AOP 1/2']","  Croûte bien lisse, de jaune d’or à orangé, selon son affiange ; pâte homogène",  Odeur développée avec du bouquet," Saveur prononcée de terroir, qui ne doit être ni trop forte, ni trop douce"," Pâte molle, consistance tendre et souple"
Pont l’Évêque,Vache,Molle à croûte lavée,Centre-Val de Loire,"Le Pouligny-Saint-Pierre s’apprécie à l’apéritif, en brochettes avec des tomates cerises, accompagné d’un blanc sec issu du Sauvignon, tel qu’un Pouilly fumé ou un Sancerre.","['Buchette de Chèvre cendrée', 'Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Valençay AOP fermier']"," pâte de couleur blanche à ivoire, lisse et homogène(tâchée de bleu avec l’affinage)", Odeur paillée mais jamais forte, goût caprin et de noisette délicatement acidulé en fin de bouche, onctueux mais ferme en son coeur
Pouligny-Saint-Pierre,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Pour faire ressortir le goût du piment d’Espelette, accompagnez votre pur vache fermier à l’Espelette avec du Gaillac blanc ou rouge AOC.","['Tomme de Brebis des Pyrénées', 'Tomme Ail des Ours']",,," Saveur lactique, mais le piment d’espelette relève son léger goût de sel et la parfume.", Pâte dense 
Pur Vache Fermier à l’Espelette,Vache,Pressée non cuite,Centre-Val de Loire,"Il s’accompagne d’un vin de son terroir : Valençay blanc, rosé ou rouge.","['Calisson cendré de chèvre', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier']"," Croûte naturelle feutrée grise, avec des nuances de blanc et de bleuté tournant au vert."," Odeur de sous−bois, agrémenté de nuances florales."," Saveur légèrement lactique, parfum de noix fraîche ou de fruits secs.", Pâte ferme et homogène d’un blanc porcelaine.
